Technologie,Nettonennleistung (elektrische Wirkleistung) in MW,Cluster
Biomasse,13.3,0
Erdgas,13.288,0
Biomasse,13.212,0
Erdgas,13.21,0
Erdgas,13.167,0
Biomasse,13.0,0
Erdgas,13.0,0
Erdgas,13.0,0
Erdgas,13.0,0
Kohle,13.0,1
Erdgas,12.9,0
Biomasse,12.89,0
Biomasse,12.8294,0
Biomasse,12.8,0
Erdgas,12.8,0
Kohle,12.8,1
Erdgas,12.8,0
Erdgas,12.75,0
Erdgas,12.747,0
Erdgas,12.7314,0
Erdgas,12.7314,0
Erdgas,12.7314,0
Erdgas,12.7314,0
Erdgas,12.7314,0
Biomasse,12.712,0
Kohle,12.671,1
Kohle,12.671,1
Biomasse,12.62,0
Biomasse,12.6,0
Kohle,12.6,1
Erdgas,12.538,0
Erdgas,12.538,0
Erdgas,12.538,0
Erdgas,12.538,0
Erdgas,12.538,0
Erdgas,12.538,0
Erdgas,12.538,0
Biomasse,12.522,0
Biomasse,12.5,0
Biomasse,12.5,0
Erdgas,12.405,0
Biomasse,12.3,0
Biomasse,12.26,0
Biomasse,12.26,0
Erdgas,12.255,0
Erdgas,12.2,0
Erdgas,12.175,0
Erdgas,12.175,0
Erdgas,12.175,0
Erdgas,12.175,0
Erdgas,12.175,0
Erdgas,12.158467,0
Biomasse,12.12,0
Biomasse,12.1,0
Biomasse,12.1,0
Erdgas,12.0932,0
Erdgas,12.07,0
Biomasse,12.07,0
Erdgas,12.025,0
Biomasse,12.0,0
Biomasse,12.0,0
Erdgas,12.0,0
Erdgas,12.0,0
Erdgas,12.0,0
Biomasse,12.0,0
Biomasse,11.922,0
Erdgas,11.9,0
Erdgas,11.9,0
Erdgas,11.88,0
Erdgas,11.88,0
Biomasse,11.6,0
Erdgas,11.6,0
Erdgas,11.6,0
Erdgas,11.56,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Erdgas,11.5,0
Biomasse,11.5,0
Erdgas,11.41,0
Erdgas,11.4,0
Biomasse,11.4,0
Erdgas,11.344,0
Biomasse,11.33,0
Erdgas,11.3,0
Erdgas,11.3,0
Erdgas,11.3,0
Biomasse,11.14,0
Erdgas,11.0,0
Biomasse,11.0,0
Biomasse,11.0,0
Erdgas,11.0,0
Erdgas,10.9,0
Erdgas,10.8,0
Biomasse,10.7,0
Biomasse,10.626,0
Biomasse,10.6,0
Biomasse,10.6,0
Erdgas,10.5,0
Biomasse,10.5,0
Erdgas,10.4,0
Erdgas,10.37,0
Erdgas,10.3584,0
Erdgas,10.3584,0
Erdgas,10.3584,0
Erdgas,10.3584,0
Erdgas,10.3584,0
Erdgas,10.323,0
Erdgas,10.283,0
Biomasse,10.222,0
Erdgas,10.208,0
Erdgas,10.2,0
Erdgas,10.2,0
Erdgas,10.2,0
Erdgas,10.2,0
Erdgas,10.2,0
Kohle,10.2,1
Erdgas,10.1,0
Erdgas,10.003,0
Biomasse,10.0,0
Biomasse,10.0,0
Erdgas,10.0,0
Erdgas,10.0,0
Erdgas,10.0,0
Biomasse,10.0,0
Biomasse,10.0,0
Erdgas,9.963,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Erdgas,9.93,0
Kohle,9.9,1
Kohle,9.9,1
Erdgas,9.829,0
Kohle,9.8,1
Erdgas,9.8,0
Erdgas,9.76,0
Biomasse,9.76,0
Erdgas,9.717,0
Erdgas,9.717,0
Erdgas,9.717,0
Biomasse,9.7,0
Kohle,9.545,1
Erdgas,9.5,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Erdgas,9.456,0
Biomasse,9.4,0
Erdgas,9.4,0
Biomasse,9.376,0
Erdgas,9.35,0
Erdgas,9.25,0
Erdgas,9.25,0
Biomasse,9.23,0
Erdgas,9.2,0
Kohle,9.2,1
Erdgas,9.2,0
Biomasse,9.18,0
Biomasse,9.14432,0
Erdgas,9.029,0
Erdgas,9.023,0
Erdgas,9.0,0
Erdgas,9.0,0
Erdgas,9.0,0
Erdgas,8.9,0
Erdgas,8.882,0
Erdgas,8.8105,0
Kohle,8.8,1
Kohle,8.8,1
Biomasse,8.7,0
Erdgas,8.6,0
Biomasse,8.6,0
Erdgas,8.5,0
Erdgas,8.426,0
Kohle,8.234,1
Kohle,8.2,1
Erdgas,8.13,0
Erdgas,8.0,0
Biomasse,8.0,0
Biomasse,8.0,0
Biomasse,7.97,0
Erdgas,7.9,0
Biomasse,7.8,0
Erdgas,7.8,0
Biomasse,7.8,0
Erdgas,7.8,0
Biomasse,7.72,0
Erdgas,7.662,0
Erdgas,7.6,0
Erdgas,7.6,0
Erdgas,7.558,0
Erdgas,7.558,0
Erdgas,7.5,0
Erdgas,7.5,0
Erdgas,7.5,0
Erdgas,7.482,0
Erdgas,7.428,0
Erdgas,7.37765,0
Biomasse,7.36,0
Kohle,7.225,1
Erdgas,7.2,0
Kohle,7.2,1
Erdgas,7.15,0
Erdgas,7.15,0
Erdgas,7.061,0
Erdgas,7.032,0
Biomasse,7.0,0
Erdgas,7.0,0
Erdgas,7.0,0
Erdgas,6.92,0
Biomasse,6.9,0
Biomasse,6.9,0
Erdgas,6.9,0
Biomasse,6.72,0
Biomasse,6.72,0
Erdgas,6.71,0
Erdgas,6.7,0
Erdgas,6.7,0
Erdgas,6.61039,0
Biomasse,6.6,0
Erdgas,6.528,0
Biomasse,6.5,0
Erdgas,6.5,0
Kohle,6.5,1
Biomasse,6.45,0
Erdgas,6.43,0
Erdgas,6.41,0
Erdgas,6.41,0
Erdgas,6.358,0
Erdgas,6.35,0
Erdgas,6.25,0
Erdgas,6.232,0
Erdgas,6.153,0
Erdgas,6.144,0
Kohle,6.14,1
Kohle,6.14,1
Erdgas,6.127,0
Erdgas,6.127,0
Erdgas,6.02,0
Erdgas,6.0,0
Erdgas,6.0,0
Erdgas,6.0,0
Erdgas,6.0,0
Kohle,6.0,1
Erdgas,5.874,0
Kohle,5.786,1
Kohle,5.76,1
Erdgas,5.718,0
Erdgas,5.718,0
Erdgas,5.713,0
