ID Nummer,Schicht,Datum,Anwesend
ID89038,Nachmittagsschicht,30.04.2015,1
ID89038,Nachmittagsschicht,01.05.2015,1
ID89038,Nachmittagsschicht,08.05.2015,1
ID89038,Nachmittagsschicht,11.05.2015,1
ID89038,Nachmittagsschicht,20.05.2015,1
ID89038,Nachmittagsschicht,21.05.2015,1
ID89038,Nachmittagsschicht,22.05.2015,1
ID89038,Nachmittagsschicht,25.05.2015,1
ID89038,Nachmittagsschicht,28.05.2015,1
ID89038,Nachmittagsschicht,03.06.2015,1
ID89038,Nachmittagsschicht,11.06.2015,1
ID89038,Nachmittagsschicht,13.06.2015,1
ID89038,Nachmittagsschicht,17.06.2015,1
ID89038,Nachmittagsschicht,15.07.2015,1
ID89038,Nachmittagsschicht,16.07.2015,1
ID89038,Nachmittagsschicht,23.07.2015,1
ID89038,Nachmittagsschicht,21.08.2015,1
ID89038,Nachmittagsschicht,09.09.2015,1
ID89038,Nachmittagsschicht,18.09.2015,1
ID89038,Nachmittagsschicht,01.10.2015,1
ID89038,Nachmittagsschicht,02.10.2015,1
ID89038,Nachmittagsschicht,07.10.2015,1
ID89038,Nachmittagsschicht,14.10.2015,1
ID89038,Nachmittagsschicht,16.10.2015,1
ID89038,Nachmittagsschicht,19.10.2015,1
ID21501,Morgenschicht,11.05.2015,1
ID21501,Morgenschicht,12.05.2015,1
ID21501,Morgenschicht,13.05.2015,1
ID21501,Morgenschicht,14.05.2015,1
ID21501,Morgenschicht,15.05.2015,1
ID21501,Morgenschicht,16.05.2015,1
ID21501,Morgenschicht,18.05.2015,1
ID21501,Morgenschicht,19.05.2015,1
ID21501,Morgenschicht,20.05.2015,1
ID21501,Morgenschicht,21.05.2015,1
ID21501,Morgenschicht,22.05.2015,1
ID21501,Morgenschicht,23.05.2015,1
ID21501,Morgenschicht,25.05.2015,1
ID21501,Morgenschicht,26.05.2015,1
ID21501,Morgenschicht,27.05.2015,1
ID21501,Morgenschicht,28.05.2015,1
ID21501,Morgenschicht,29.05.2015,1
ID21501,Morgenschicht,30.05.2015,1
